عطفی	عطف
پاسخگوی	پاسخگو
دیگری	دیگر
آزمایشگاهی	آزمایشگاه
برطرف‌کنندهٔ	برطرف‌کننده
بیشتر	بیش
قاطعی	قاطع
خودنوشتی	خودنوشت
سالهٔ	ساله
قابل‌توجهی	قابل‌توجه
بهترین	به
مهمی	مهم
بزرگترین	بزرگ
بعدی	بعد
فرسودهٔ	فرسوده
قوی‌ترین	قوی
مؤثری	مؤثر
بیشتر	بیش
بیشتر	بیش
قوی‌تر	قوی
خاصی	خاص
تولیدکنندهٔ	تولیدکننده
کمتر	کم
پذیرای	پذیرا
عظیمی	عظیم
دینی	دین
کنونی	کنون
شیفتهٔ	شیفته
ساختهٔ	ساخته
زیادی	زیاد
فراوانی	فراوان
تمام‌تر	تمام
وقیحانه‌ای	وقیحانه
دیگری	دیگر
مستقلی	مستقل
ویژهٔ	ویژه
ویژهٔ	ویژه
گستردهٔ	گسترده
مختلفی	مختلف
زیادی	زیاد
ویران‌کننده‌ای	ویران‌کننده
برندهٔ	برنده
متعددی	متعدد
تنگاتنگی	تنگاتنگ
ساله‌ای	ساله
بیشتر	بیش
دارای	دارا
توزیع‌کنندهٔ	توزیع‌کننده
ناسالمی	ناسالم
دارای	دارا
تعیین‌کننده‌ای	تعیین‌کننده
خوشی	خوش
درستی	درست
سخت‌تر	سخت
آخرین	آخر
بعدی	بعد
تودرتوی	تودرتو
قسم‌خوردهٔ	قسم‌خورده
سرکش‌تر	سرکش
بزرگی	بزرگ
مهمترین	مهم
دیگری	دیگر
شایسته‌ای	شایسته
بیش‌تر	بیش
مهمترین	مهم
آمادهٔ	آماده
روانهٔ	روانه
چندانی	چندان
تازه‌ای	تازه
فراتر	فرا
مهم‌ترین	مهم
باشکوه‌ترین	باشکوه
فعالی	فعال
روشن‌بینانه‌تر	روشن‌بینانه
تازه‌ای	تازه
بیشتر	بیش
دارای	دارا
بالاترین	بالا
ویژهٔ	ویژه
راه‌افتادهٔ	راه‌افتاده
اولیهٔ	اولیه
ایرانی‌ای	ایرانی
چندانی	چندان
خوبی	خوب
دقیق‌تر	دقیق
ریختهٔ	ریخته
معتبری	معتبر
خاموشی	خاموش
کمتر	کم
جدی‌ای	جدی
کمتر	کم
کمی	کم
بهتر	به
کلی‌ای	کلی
انتخاباتی‌ای	انتخاباتی
کامل‌تر	کامل
کمتری	کم
دیرتر	دیر
زودتر	زود
کافی‌ای	کافی
ویژهٔ	ویژه
بیشتر	بیش
بدی	بد
ویژهٔ	ویژه
مناسبی	مناسب
بیشتر	بیش
معروف‌ترین	معروف
کمی	کم
جدیدی	جدید
رادیکال‌تر	رادیکال
قدیمی‌ای	قدیمی
مهم‌ترین	مهم
کلیدی‌ترین	کلیدی
مهم‌ترین	مهم
ویژهٔ	ویژه
بیشترین	بیش
کهن‌ترین	کهن
افزون‌تر	افزون
ضایع‌شونده‌ای	ضایع‌شونده
نقلیهٔ	نقلیه
بعدی	بعد
کمتر	کم
بیشتر	بیش
پرندهٔ	پرنده
فوق‌العاده‌ای	فوق‌العاده
مبتلای	مبتلا
مستقیم‌تر	مستقیم
بهتر	به
دارای	دارا
بیشتر	بیش
کاری‌ای	کاری
زیادی	زیاد
موزونی	موزون
باهوش‌تر	باهوش
زمستانهٔ	زمستانه
بزرگی	بزرگ
بیشتر	بیش
بهتر	به
عالیهٔ	عالیه
عمدهٔ	عمده
سریع‌تر	سریع
اتریشی	اتریش
ارزنده‌ای	ارزنده
برترین	برتر
کوتاهی	کوتاه
فزایندهٔ	فزاینده
بیشترین	بیش
جوان‌ترین	جوان
جدیدی	جدید
بیشتر	بیش
بیشتر	بیش
بیشتری	بیش
مؤثرترین	مؤثر
کوچک‌ترین	کوچک
کمی	کم
بیشتر	بیش
ارجمندترین	ارجمند
دیگری	دیگر
بالاتر	بالا
زیبای	زیبا
بهتری	به
شخصییتان	شخصی
ساختمانی	ساختمان
جزئی‌ترین	جزئی
فنی‌ترین	فنی
بیشتر	بیش
بیشتر	بیش
بدی	بد
آلوده‌ترین	آلوده
بالایی	بالا
تازهٔ	تازه
بهتری	بهتر
بهترین	به
ثابتی	ثابت
ارزشمندی	ارزشمند
شکوهمندترین	شکوهمند
غمبادگرفتهٔ	غمبادگرفته
گویاتر	گویا
بهتر	به
بیشتر	بیش
بهتر	به
بهتر	به
کوچک‌ترین	کوچک
گسترده‌ای	گسترده
زیادی	زیاد
مهمی	مهم
ساکت‌تر	ساکت
افتاده‌ترین	افتاده
رسیدگی‌کنندهٔ	رسیدگی‌کننده
زیادتر	زیاد
مخرب‌تر	مخرب
عظیم‌تر	عظیم
بیمارگونهٔ	بیمارگونه
بهترین	به
تلخ‌ترین	تلخ
کمتر	کم
قشنگ‌تر	قشنگ
بدتر	بد
سالهٔ	ساله
ماههٔ	ماهه
بیشترین	بیش
آمادهٔ	آماده
دیگری	دیگر
باسابقهٔ	باسابقه
بیشتر	بیش
محترمانهٔ	محترمانه
پرسابقهٔ	پرسابقه
دیگری	دیگر
زودتر	زود
دم‌کلفتی	دم‌کلفت
سیاهی	سیاه
محتاج‌تر	محتاج
درازتر	دراز
تهدیدآمیزی	تهدیدآمیز
کوچکی	کوچک
مفصلی	مفصل
آخری	آخر
بهتر	به
دیگری	دیگر
بالاتر	بالا
تیزهوشی	تیزهوش
تازه‌ای	تازه
بغلی	بغل
جوانی	جوان
طبیعی‌تر	طبیعی
بااحساس‌تر	بااحساس
شیکپوشی	شیکپوش
باشخصیتی	باشخصیت
نامحسوسی	نامحسوس
بدترین	بد
داری	دار
باشکوهی	باشکوه
سیاهی	سیاه
جلوتر	جلو
نامحسوسی	نامحسوس
بلندتر	بلند
کمتر	کم
پرکینهٔ	پرکینه
سیاهی	سیاه
آسان‌تر	آسان
آسان‌تر	آسان
آسان‌تر	آسان
آسان‌تر	آسان
سخت‌ترین	سخت
معینی	معین
مهم‌ترین	مهم
مهم‌تر	مهم
دیگری	دیگر
فراگیری	فراگیر
ناب‌ترین	ناب
ضروری‌ترین	ضروری
مهم‌تر	مهم
قطعی‌ای	قطعی
ذاتی‌ای	ذاتی
مهمی	مهم
فراتر	فرا
تعیین‌کنندهٔ	تعیین‌کننده
دیگری	دیگر
متفاوتی	متفاوت
قطعی‌ترین	قطعی
زیادی	زیاد
بهترین	به
بهترین	به
بهترین	به
جدیدی	جدید
مانده	ماند#مان
نوشتهٔ	نوشته
افزون‌تر	افزون
چندانی	چندان
بزرگ‌تر	بزرگ
مناسب‌تری	مناسب
آمادهٔ	آماده
منطقی‌ای	منطقی
بیش‌تری	بیش
کمتر	کم
اولیهٔ	اولیه
جدی‌تر	جدی
زیادی	زیاد
دیگری	دیگر
بزرگ‌تر	بزرگ
کمتر	کم
ساختهٔ	ساخته
بزرگ‌ترین	بزرگ
فراوانی	فراوان
کم‌تر	کم
عظیمی	عظیم
سالهٔ	ساله
بهتر	به
جانانهٔ	جانانه
جدیدی	جدید
مفصلی	مفصل
خوبی	خوب
شایسته‌ای	شایسته
واسعهٔ	واسعه
مختلفی	مختلف
منعکس‌کنندهٔ	منعکس‌کننده
خوبی	خوب
کمی	کم
بهتر	به
بیشتر	بیش
آمادهٔ	آماده
زودتر	زود
بیشتری	بیش
بسیاری	بسیار
مؤثرترین	مؤثر
بزرگی	بزرگ
شایسته‌تری	شایسته
گران‌تر	گران
مشئوم‌تر	مشئوم
فرارتر	فرار
تاریخی‌تر	تاریخی
مهمی	مهم
ظریف‌تر	ظریف
جامع‌تری	جامع
تاریخی‌تر	تاریخی
انسان‌گرایانه‌تر	انسان‌گرایانه
بخشندهٔ	بخشنده
خاکستری	خاکستر
دل‌انگیزی	دل‌انگیز
کریم‌تر	کریم
ناجوانمردانهٔ	ناجوانمردانه
قوی‌ترین	قوی
عاجزانهٔ	عاجزانه
بسیاری	بسیار
دورافتاده‌ترین	دورافتاده
سالهٔ	ساله
فراتر	فرا
نشان‌دهندهٔ	نشان‌دهنده
جدیدتری	جدید
بیشتر	بیش
باارزشی	باارزش
گوناگونی	گوناگون
اندکی	اندک
لذیذترین	لذیذ
بارزترین	بارز
بزرگ‌تر	بزرگ
قدرتمندتر	قدرتمند
بزرگ‌تر	بزرگ
مومیایی‌شدهٔ	مومیایی‌شده
زنده‌شدهٔ	زنده‌شده
فراتر	فرا
دست‌نشاندهٔ	دست‌نشانده
رفتهٔ	رفته
بیشتر	بیش
بهتر	به
دشواری	دشوار
بهتر	به
بزرگ‌ترین	بزرگ
صحیح‌ترین	صحیح
مرغوب‌ترین	مرغوب
مخصوصی	مخصوص
مشهورترین	مشهور
یگانهٔ	یگانه
شدیدی	شدید
سالهٔ	ساله
زیادی	زیاد
جدیدی	جدید
اندکی	اندک
سختی	سخت
مهلکی	مهلک
بهتر	به
نزدیک‌تر	نزدیک
بلندتر	بلند
بیشتر	بیش
بیشتر	بیش
افشانی	افشان
کوچک‌ترین	کوچک
بین‌جاده‌ای	بینجاده‌ای
زیادی	زیاد
بیشترین	بیش
کمتر	کم
سالهٔ	ساله
نانوشته‌ای	نانوشته
قبلی‌تر	قبلی
نیازی	نیاز
محکم‌تر	محکم
کوتاه‌ترین	کوتاه
ظریف‌ترین	ظریف
سختی	سخت
زیادی	زیاد
بسیاری	بسیار
نزدیک‌تر	نزدیک
گوناگونی	گوناگون
بی‌رویه‌ای	بی‌رویه
بزرگ‌تر	بزرگ
دیگری	دیگر
بیچارهٔ	بیچاره
دارای	دارا
درازی	دراز
شگرفی	شگرف
تیرهٔ	تیره
خوبی	خوب
نزدیک‌تر	نزدیک
بیشتر	بیش
تازه‌ای	تازه
ستوده‌تر	ستوده
خوشبوکنندهٔ	خوشبوکننده
شایستهٔ	شایسته
بهتر	به
بهتری	به
آشنایی	آشنا
بلندی	بلند
زیبایی	زیبا
براقی	براق
زیادی	زیاد
خاصی	خاص
دیگری	دیگر
اظهر	ظاهر
کوچکی	کوچک
تازه‌ای	تازه
سختی	سخت
مشهورترین	مشهور
بسیاری	بسیار
بزرگ‌تر	بزرگ
مستانهٔ	مستانه
کمترین	کم
بدجوری	بدجور
شاعرانهٔ	شاعرانه
تمام‌نمای	تمام‌نما
آفتاب‌سوختهٔ	آفتاب‌سوخته
کهنهٔ	کهنه
عزیزترین	عزیز
بی‌پروای	بی‌پروا
ممنوعهٔ	ممنوعه
بیشتر	بیش
کوچک‌تر	کوچک
بدتر	بد
بزرگی	بزرگ
بهتر	به
سالهٔ	ساله
دیگری	دیگر
مخصوصی	مخصوص
بزرگی	بزرگ
غریب‌تر	غریب
بسیاری	بسیار
مشترکی	مشترک
حقهٔ	حقه
بیشتر	بیش
نیم‌روزهٔ	نیم‌روزه
نزدیکی	نزدیک
فراموش‌شدهٔ	فراموش‌شده
ماندهٔ	مانده
حساسی	حساس
عمده‌ترین	عمده
بیشتر	بیش
شایع‌ترین	شایع
سخت‌ترین	سخت
قشنگی	قشنگ
رعدآسای	رعدآسا
دیگری	دیگر
کمتر	کم
خشونت‌بارتر	خشونت‌بار
تولیدکنندهٔ	تولیدکننده
جدیدی	جدید
بهترین	به
کوچکی	کوچک
زیبای	زیبا
سادهٔ	ساده
بهتر	به
ناآشنای	ناآشنا
بهترین	به
بیشتر	بیش
بیشتر	بیش
بدی	بد
شیفتهٔ	شیفته
کوتاهی	کوتاه
دیگری	دیگر
دیگری	دیگر
کمتر	کم
تازه‌ای	تازه
دیگری	دیگر
دیگری	دیگر
فریبندهٔ	فریبنده
بیشتر	بیش
پیچیدهٔ	پیچیده
کمتر	کم
فراوانی	فراوان
زادهٔ	زاده
مسلحانهٔ	مسلحانه
قرمزی	قرمز
جامع‌تر	جامع
رضایت‌بخش‌تر	رضایت‌بخش
خاصی	خاص
بسته‌شدهٔ	بسته‌شده
تازه‌ای	تازه
تمسخرآمیزی	تمسخرآمیز
حقهٔ	حقه
بهترین	به
جدیدی	جدید
بهتری	به
سالهٔ	ساله
زودتر	زود
جوانی	جوان
بیشتری	بیش
بیشتری	بیش
کمتر	کم
بیشتر	بیش
کمتر	کم
زیادی	زیاد
علمیهٔ	علمیه
بیشتری	بیش
سفیدی	سفید
کمترین	کم
معینی	معین
خاصی	خاص
نمونهٔ	نمونه
کمتر	کم
زیادی	زیاد
خوشایندی	خوشایند
بدی	بد
بهتر	به
بیشتر	بیش
نقره‌ای	نقره
امیدبخشی	امیدبخش
روشنی	روشن
کمتر	کم
معقولی	معقول
بیشتر	بیش
بیشتر	بیش
تیزپایی	تیزپا
مهم‌ترین	مهم
پیشروترین	پیشرو
شیکی	شیک
غول‌پیکرترین	غول‌پیکر
بیشتر	بیش
بیشتر	بیش
فراوانی	فراوان
بیشتری	بیش
گذرای	گذرا
بیشتر	بیش
دیگری	دیگر
بلندتر	بلند
باسابقهٔ	باسابقه
ویژهٔ	ویژه
تمام‌تر	تمام
خاصی	خاص
بالاتر	بالا
موفقی	موفق
جزئی‌ترین	جزئی
زرنگ‌تر	زرنگ
آسان‌تر	آسان
بیشتر	بیش
جدیدی	جدید
نفیس‌ترین	نفیس
جادویی	جادو
نزدیک‌تر	نزدیک
تازه‌ای	تازه
بالاترین	بالا
شدهٔ	شده
مؤثری	مؤثر
بزرگ‌ترین	بزرگ
تندتر	تند
مهربانی	مهربان
بعدی	بعد
پیرترین	پیر
بالاترین	بالا
بهترین	به
پرتمنای	پرتمنا
بزرگی	بزرگ
بزرگ‌تر	بزرگ
دارای	دارا
مهم‌ترین	مهم
دیگری	دیگر
معینی	معین
فراتر	فرا
سنگین‌تر	سنگین
زیادی	زیاد
بی‌دریغ‌تر	بی‌دریغ
محکم‌تر	محکم
کوچکی	کوچک
رعدآسای	رعدآسا
علاقه‌مندتر	علاقه‌مند
پیچیدهٔ	پیچیده
گستردهٔ	گسترده
مستحق‌تر	مستحق
زیادی	زیاد
کوچکی	کوچک
سیاهی	سیاه
بسیاری	بسیار
بیشتر	بیش
تشنه‌ای	تشنه
بزرگ‌تر	بزرگ
سنگین‌ترین	سنگین
سخت‌ترین	سخت
مهم‌تر	مهم
زیادی	زیاد
سرخی	سرخ
زیبایی	زیبا
پیش‌تر	پیش
گوارایی	گوارا
بهترین	به
عزیزی	عزیز
سیطره‌جوی	سیطره‌جو
شجاعی	شجاع
چینی‌سازی‌شده‌ای	چینی‌سازی‌شده
بهترین	به
بزرگ‌ترین	بزرگ
خسته‌ای	خسته
لایقی	لایق
بهترین	به
کمی	کم
قوی‌تر	قوی
سنگی‌تر	سنگی
همه‌جانبهٔ	همهجانبه
موفقی	موفق
ویژهٔ	ویژه
تیره‌روز	تیره‌روزز
مکاری	مکار
بی‌رحمانه‌ای	بی‌رحمانه
ریزی	ریز
دوری	دور
آبی‌رنگی	آبی‌رنگ
نیکوترینش	نیکو
پرخطری	پرخطر
متعددی	متعدد
خاصی	خاص
برندهٔ	برنده
بهترین	به
بیشتر	بیش
نزدیکی	نزدیک
دیگری	دیگر
زیادی	زیاد
زودتر	زود
کمترین	کم
نقلیه‌ای	نقلیه
کهنه‌ای	کهنه
مناسبی	مناسب
مهم‌ترین	مهم
گرم‌تر	گرم
مناسبی	مناسب
جدی‌تر	جدی
عمیقی	عمیق
جدی‌تری	جدی
خاصی	خاص
دارای	دارا
نفتی	نفت
مفیدترین	مفید
گهربارترین	گهربار
بالاتر	بالا
نمونهٔ	نمونه
شایسته‌ای	شایسته
کمتر	کم
کمتر	کم
بیشترین	بیش
نافع‌تر	نافع
مختلفی	مختلف
موضوعی	موضوع
قوی‌تر	قوی
خوبی	خوب
ناهمگونی	ناهمگون
ناگواری	ناگوار
کمتر	کم
مثبتی	مثبت
دیگری	دیگر
کمتری	کم
زیادی	زیاد
شیفتهٔ	شیفته
بیشتر	بیش
اولیهٔ	اولیه
کمتر	کم
پریشان‌تر	پریشان
خوش‌تر	خوش
بالندهٔ	بالنده
بزرگ‌تر	بزرگ
پیکارجوی	پیکارجو
بهتر	به
سادهٔ	ساده
دیگری	دیگر
مهم‌ترین	مهم
مختلفی	مختلف
سرحال‌تر	سرحال
پرانرژی‌تر	پرانرژی
آسان‌تر	آسان
بیشتر	بیش
زیادی	زیاد
پایین‌تر	پایین
خوبی	خوب
بیشتر	بیش
متعصبی	متعصب
دورترین	دور
بهتر	به
جوانی	جوان
داغ‌ترین	داغ
شیفتهٔ	شیفته
ساده‌ترین	ساده
کمتری	کم
بیش‌تری	بیش
مشترکی	مشترک
بالاتر	بالا
عجیبی	عجیب
زودتر	زود
جوان‌تر	جوان
بهتر	به
سالم‌تری	سالم
مقتدرتر	مقتدر
زیادی	زیاد
سریع‌ترین	سریع
آمادهٔ	آماده
خارجهٔ	خارجه
فراتر	فرا
بهتر	به
بدترین	بد
ظالمانهٔ	ظالمانه
معینی	معین
فاسقی	فاسق
تصرف‌شدهٔ	تصرف‌شده
بسیاری	بسیار
بدی	بد
بزرگ‌ترین	بزرگ
بزرگ‌ترین	بزرگ
پاسخگوی	پاسخگو
کوچکی	کوچک
والاتر	والا
بیشتر	بیش
ماهیانهٔ	ماهیانه
بیشتر	بیش
بیشتر	بیش
بیشتر	بیش
برده‌تر	برده
زودتر	زود
پیش‌تر	پیش
زیادی	زیاد
زیادی	زیاد
پیش‌تر	پیش
قوی‌ترین	قوی
بزرگ‌ترین	بزرگ
بی‌شماری	بی‌شمار
قوی‌ترین	قوی
بهتر	به
پژوهشی	پژوهش
خاصی	خاص
خردمندترین	خردمند
چندانی	چندان
سه‌پای	سه‌پا
پیش‌تر	پیش
بلندترین	بلند
قرمزها	قرمز
مستعاری	مستعار
مشخصی	مشخص
خوش‌تر	خوش
دارای	دارا
بیماری	بیمار
بیشتر	بیش
بیشتر	بیش
بیشتر	بیش
دارای	دارا
بیشتر	بیش
عاشق‌تر	عاشق
دارای	دارا
زیادی	زیاد
ویژهٔ	ویژه
زیبایی	زیبا
دارای	دارا
اندکی	اندک
بالایی	بالا
بزرگی	بزرگ
بیشتر	بیش
بیشتری	بیش
بهترین	به
کمترین	کم
معینی	معین
کم‌هوشی	کم‌هوش
بزرگ‌تر	بزرگ
زنده‌ای	زنده
صمیمی‌ترین	صمیمی
بزرگ‌ترین	بزرگ
تازه‌ترین	تازه
نزدیک‌ترین	نزدیک
خارجهٔ	خارجه
سالهٔ	ساله
زلزله‌زدهٔ	زلزله‌زده
کمتر	کم
کوچک‌ترین	کوچک
خنکی	خنک
مفرحی	مفرح
زیادی	زیاد
پاک‌ترین	پاک
بلندی	بلند
زیادی	زیاد
چرخداری	چرخدار
دیگری	دیگر
دیگری	دیگر
بیدارگرانهٔ	بیدارگرانه
خفتهٔ	خفته
قاطعانه‌ای	قاطعانه
میانهٔ	میانه
دیگری	دیگر
ناپسندی	ناپسند
بیشتر	بیش
بهتر	به
آمادهٔ	آماده
گرفتهٔ	گرفته
وحشتناکی	وحشتناک
زودتر	زود
ارزان‌ترین	ارزان
امن‌ترین	امن
باصرفه‌ترین	باصرفه
نزدیک‌ترین	نزدیک
دلنشین‌تر	دلنشین
بیشتر	بیش
بهتر	به
بیشتر	بیش
بهتر	به
شناخته‌شدهٔ	شناخته‌شده
بی‌همتای	بی‌همتا
بدتر	بد
گشادهٔ	گشاده
مخصوصی	مخصوص
پیش‌تر	پیش
دیگری	دیگر
سبکی	سبک
رساتر	رسا
صادقانهٔ	صادقانه
دیگری	دیگر
بهترین	به
کمی	کم
بیشتر	بیش
دیگری	دیگر
مطرحی	مطرح
پیشرفته‌ترین	پیشرفته
بیشتر	بیش
طرف‌تر	طرف
زلالی	زلال
گزندهٔ	گزنده
عمیقی	عمیق
کوچکی	کوچک
دارای	دارا
بیشتر	بیش
بی‌مقدارتر	بی‌مقدار
زیادی	زیاد
بهتر	به
بهترین	به
دیگری	دیگر
ثبت‌شدهٔ	ثبت‌شده
بزرگ‌ترین	بزرگ
زیبایی	زیبا
نادانی	نادان
کامل‌ترین	کامل
زیبای	زیبا
خوشبخت‌تر	خوشبخت
ساده‌ترین	ساده
ویژهٔ	ویژه
بی‌حسابی	بی‌حساب
مهم‌ترین	مهم
آرامی	آرام
خوبی	خوب
زیادی	زیاد
تمام‌تر	تمام
کمتر	کم
صادقانه‌ای	صادقانه
زیادی	زیاد
بهترین	به
پایاپای	پایاپا
خاصی	خاص
زیادی	زیاد
کوچکی	کوچک
زیادی	زیاد
کمتر	کم
دارای	دارا
سنگینی	سنگین
کوچک‌ترین	کوچک
طلای	طلا
بزرگ‌ترین	بزرگ
بیشتری	بیش
بهتری	به
بهترین	به
خوبی	خوب
کمی	کم
کمتر	کم
کمتری	کم
بیشترین	بیش
بی‌شماری	بی‌شمار
نادرستی	نادرست
گرمی	گرم
حقیقت‌جوی	حقیقت‌جو
دیگری	دیگر
غریبی	غریب
اولیهٔ	اولیه
زیادی	زیاد
بیشتر	بیش
سختی	سخت
گران‌ترین	گران
جدیدی	جدید
دیگری	دیگر
بزرگ‌تری	بزرگ
بیشتر	بیش
والای	والا
خوبی	خوب
بیشتری	بیش
بیشتری	بیش
بهتر	به
بلندترین	بلند
مهمی	مهم
محترمی	محترم
مهمی	مهم
پسندیدهٔ	پسندیده
گسترده‌تر	گسترده
عریض‌تر	عریض
بلندتر	بلند
جالبی	جالب
زیادی	زیاد
بالای	بالا
زیادی	زیاد
درستی	درست
روشنی	روشن
جامعی	جامع
تابعهٔ	تابعه
مفصلی	مفصل
بالایی	بالا
جدیدی	جدید
فراتر	فرا
زیادی	زیاد
خودساختهٔ	خودساخته
زیادی	زیاد
دیگری	دیگر
دیگری	دیگر
متعددی	متعدد
دارای	دارا
بهتر	به
لجام‌گسیختهٔ	لجام‌گسیخته
بهترین	به
زیادی	زیاد
بیشتری	بیش
اندکی	اندک
شایسته‌ای	شایسته
بالاتر	بالا
کوتاهی	کوتاه
ارزشمندی	ارزشمند
سالم‌تر	سالم
طولانی‌تر	طولانی
بیشتر	بیش
گستردهٔ	گسترده
زیادی	زیاد
خوبی	خوب
مستقیمی	مستقیم
مناسبی	مناسب
اولیه‌ای	اولیه
بیشتری	بیش
خوارترین	خوار
ویژهٔ	ویژه
بیشتر	بیش
خاصی	خاص
زیادی	زیاد
خاصی	خاص
نزدیکی	نزدیک
بدبینانهٔ	بدبینانه
دیگری	دیگر
زیادی	زیاد
سالمی	سالم
مقتدری	مقتدر
جباری	جبار
دارای	دارا
دارای	دارا
ته‌ماندهٔ	ته‌مانده
بیشتر	بیش
زیبای	زیبا
حرس‌شدهٔ	حرس‌شده
گرمی	گرم
اصلح	صالح
بیشتر	بیش
چاقی	چاق
بهتر	به
کوچک‌تری	کوچک
بیشتر	بیش
مخصوصی	مخصوص
جزئی‌ترین	جزئی
کمتر	کم
کمتر	کم
کمتر	کم
بی‌خبرتر	بی‌خبر
کاملی	کامل
زیادی	زیاد
زیادی	زیاد
دیگری	دیگر
وسیع‌ترین	وسیع
کوتاهی	کوتاه
خلافکاری	خلافکار
هنگفتی	هنگفت
کندی	کند
فرعونی	فرعون
خوبی	خوب
بیشتر	بیش
عزیزی	عزیز
پربهای	پربها
مفیدی	مفید
زیادی	زیاد
اسلام‌گرای	اسلام‌گرا
خاصی	خاص
محکم‌تر	محکم
بیشتر	بیش
باشکوهی	باشکوه
قطع‌شدهٔ	قطع‌شده
بدبخت‌تر	بدبخت
غریبانه‌ترین	غریبانه
گمنام‌ترین	گمنام
عطشناک‌ترین	عطشناک
بیشتری	بیش
تصرف‌شدهٔ	تصرف‌شده
بهتر	به
قطعی‌تری	قطعی
خاصی	خاص
کمتر	کم
خاصی	خاص
صمیمانه‌ای	صمیمانه
بافته‌شدهٔ	بافته‌شده
اولیهٔ	اولیه
خاصی	خاص
کوچک‌ترین	کوچک
بیشتر	بیش
بهترین	به
فراوانی	فراوان
غریبی	غریب
خاصی	خاص
خیره‌کننده‌ای	خیره‌کننده
طیبهٔ	طیبه
عجیبی	عجیب
بزرگ‌ترین	بزرگ
نمایندهٔ	نماینده
بالنده‌ای	بالنده
زیباترین	زیبا
کمتر	کم
اندکی	اندک
بیشتر	بیش
تراوش‌کردهٔ	تراوش‌کرده
کم‌نوری	کم‌نور
پهناوری	پهناور
زیادی	زیاد
کوچک‌ترین	کوچک
بسیاری	بسیار
بیشتری	بیش
زیادتر	زیاد
ناواردی	ناوارد
معینی	معین
بدتر	بد
بیشتر	بیش
کمتر	کم
بیشتری	بیش
نزدیک‌ترین	نزدیک
رهای	رها
زیادی	زیاد
دیگری	دیگر
جدیدی	جدید
خاصی	خاص
یاسایی	یاسای
روزمرهٔ	روزمره
بهتری	به
تازه‌واردی	تازه‌وارد
زیادی	زیاد
کدرتر	کدر
بزرگ‌ترین	بزرگ
تمیزتری	تمیز
بیچاره‌ای	بیچاره
فرمانی	فرمان
بیشتر	بیش
بهتر	به
بلیغی	بلیغ
تیزی	تیز
بالایی	بالا
معصومین	معصوم
گوناگونی	گوناگون
مداومی	مداوم
زیادی	زیاد
مفیدی	مفید
دشواری	دشوار
کمتر	کم
نیکی	نیک
زیادی	زیاد
عمده‌ای	عمده
